2097	51498735    22101868
2098	51494937    22111100
2099	51482219    22116671
2100	51481244    22137461
2101	51491202    22146860
2102	51492315    22142411
2103	51499504    22143931
2104	51511241    22136928
2105	51507102    22113222
2106	51498190    22108015
2107	51510536    22105897
2108	51518410    22095903
2109	51532900    22105555
2110	51544381    22134554
